Iteration,Arm_0_Comfort,Arm_1_Comfort,Arm_2_Comfort,Arm_3_Comfort,Arm_4_Comfort,Arm_5_Comfort,Arm_6_Comfort,Arm_7_Comfort,Arm_8_Comfort,Arm_9_Comfort,Arm_0_Continuity,Arm_1_Continuity,Arm_2_Continuity,Arm_3_Continuity,Arm_4_Continuity,Arm_5_Continuity,Arm_6_Continuity,Arm_7_Continuity,Arm_8_Continuity,Arm_9_Continuity
1,6.268115942028985,6.268115942028985,7.644927536231884,6.44927536231884,7.7898550724637685,5.507246376811594,7.391304347826086,7.391304347826086,8.007246376811594,7.101449275362319,6.884057971014492,6.884057971014492,6.884057971014492,6.521739130434783,8.115942028985508,6.340579710144928,6.340579710144928,9.384057971014492,9.384057971014492,7.717391304347826
2,,,6.666666666666666,,8.840579710144928,,,7.862318840579711,6.557971014492754,8.043478260869566,,,7.101449275362319,,7.971014492753623,,,6.847826086956522,6.44927536231884,7.5
